url,brand,item_name,price,stars,rating,reviews,text_reviews
http://flipkart.com/hanumntra-men-printed-casual-black-shirt/p/itm4da8ef61091b6?pid=SHTGHGWSUKYMMFHQ&lid=LSTSHTGHGWSUKYMMFHQDV9VEC&marketplace=FLIPKART&q=shirts+&store=clo%2Fash%2Faxc&srno=s_1_1&otracker=search&fm=organic&iid=en_56wiMx47rRv%2FXiPpy5zH46FR8wx4tZgP1tjAJXLpSqMBsTzz6%2BTmgO2J217yz5IgpRzImAj4SnUsVhLVckUKOg%3D%3D&ppt=None&ppn=None&ssid=r9w40tzwr40000001674914625332&qH=3a8db61afd63f9b2,HANUMNTRA ,Men Regular Fit Printed Spread Collar Casual Shirt,₹423,4,116,8,"['5Nice shirt print was also very nice and when i washed the print was as it was before.i am satisfied with this shirt ❤️❤️❤️READ MORERishabh Raj2 months ago385PermalinkReport AbuseCertified Buyer, Hazaribagh4Very good👍READ MOREAnshul Vimal1 month ago50PermalinkReport AbuseCertified Buyer, Ernakulam5SuperREAD MOREFlipkart Customer9 days ago00PermalinkReport AbuseCertified Buyer, Kharagpur']"
http://flipkart.com/woxen-men-solid-formal-blue-shirt/p/itmc4c1fa87739db?pid=SHTGHYPVCSD3GR4C&lid=LSTSHTGHYPVCSD3GR4CIHVNYG&marketplace=FLIPKART&q=shirts+&store=clo%2Fash%2Faxc&srno=s_1_2&otracker=search&fm=organic&iid=en_56wiMx47rRv%2FXiPpy5zH46FR8wx4tZgP1tjAJXLpSqM%2FsGrnbGtaynQ7G%2FwdeMhN37yaysnV2wKFH8YMn%2F1A%2Bg%3D%3D&ppt=None&ppn=None&ssid=r9w40tzwr40000001674914625332&qH=3a8db61afd63f9b2,WOXEN ,Men Slim Fit Solid Formal Shirt,₹414,4.3,28,8,"['5Good qualityDecent lookComfortable as wellREAD MORENavya K.5 days ago00PermalinkReport AbuseCertified Buyer, Navi Mumbai5Perfect fit for me. Very comfortable for me it gives the perfect look for a formal wear and party wear. The quality is very good. Loved the product.READ MOREniyati mehta5 days ago00PermalinkReport AbuseCertified Buyer, Mumbai5Awesome, loved it. It gives the best formal look, I bought it for my husband especially for his official meetings, thanks for this amazing product. The stuff is really good.READ MOREAbhilasha  Thakur5 days ago00PermalinkReport AbuseCertified Buyer, Ludhiana']"
http://flipkart.com/vtexx-men-solid-casual-light-blue-shirt/p/itm22fd1fee3f5eb?pid=SHTG9HZRHUAJA9YH&lid=LSTSHTG9HZRHUAJA9YHSRMPUN&marketplace=FLIPKART&q=shirts+&store=clo%2Fash%2Faxc&spotlightTagId=BestsellerId_clo%2Fash%2Faxc&srno=s_1_3&otracker=search&fm=organic&iid=b0d96433-f28c-4639-a585-98da2b8f46c7.SHTG9HZRHUAJA9YH.SEARCH&ppt=None&ppn=None&ssid=r9w40tzwr40000001674914625332&qH=3a8db61afd63f9b2,VTEXX ,Men Regular Fit Solid Spread Collar Casual Shirt,₹299,4,"54,774","4,767","['5Best productsREAD MORESuresh Das3 months ago27439PermalinkReport AbuseCertified Buyer, Puri4Waao amezing thanku Flipkart.......READ MORENaushad Hashmi2 months ago291PermalinkReport AbuseCertified Buyer, Vijayawada5Good productREAD MOREDharmendra kumar5 months ago55593PermalinkReport AbuseCertified Buyer, Bellary District']"
http://flipkart.com/vebnor-men-solid-formal-blue-shirt/p/itm015ddb52f97ab?pid=SHTG6ARR8EPQMPZA&lid=LSTSHTG6ARR8EPQMPZAZGWXH2&marketplace=FLIPKART&q=shirts+&store=clo%2Fash%2Faxc&srno=s_1_4&otracker=search&fm=organic&iid=b0d96433-f28c-4639-a585-98da2b8f46c7.SHTG6ARR8EPQMPZA.SEARCH&ppt=None&ppn=None&ssid=r9w40tzwr40000001674914625332&qH=3a8db61afd63f9b2,VeBNoR ,Men Regular Fit Solid Button Down Collar Formal Shirt,₹369,4,"66,955","6,833","['5Size: MColor: Dark GreyVery nice shirt. Both fitting and material quality were awesome..READ MORERathika A3 months ago10612PermalinkReport AbuseCertified Buyer, Uthangarai4Wow 😳READ MOREMonalisa Behera6 months ago23134PermalinkReport AbuseCertified Buyer, Dhenkanal5Best cloth quality and best Fitting 😍READ MOREAmar Lahariya3 months ago384PermalinkReport AbuseCertified Buyer, Mumbai']"
http://flipkart.com/jai-textiles-men-printed-casual-black-shirt/p/itm87292c2bfe229?pid=SHTFP3TTTCJJXTJG&lid=LSTSHTFP3TTTCJJXTJGLWVAZB&marketplace=FLIPKART&q=shirts+&store=clo%2Fash%2Faxc&srno=s_1_5&otracker=search&fm=organic&iid=b0d96433-f28c-4639-a585-98da2b8f46c7.SHTFP3TTTCJJXTJG.SEARCH&ppt=None&ppn=None&ssid=r9w40tzwr40000001674914625332&qH=3a8db61afd63f9b2,Jai Textiles ,Men Slim Fit Printed Spread Collar Casual Shirt,₹399,3.9,"96,064","9,687","['4Nice shirt thanks you flipkartREAD MORESahidul HaqueSep, 202024162315PermalinkReport AbuseCertified Buyer, Nalbari5Awesome fittings... Quality wise great according to the price...READ MOREFlipkart Customer8 months ago154985PermalinkReport AbuseCertified Buyer, Nashik5Perfect sizeREAD MOREFlipkart CustomerNov, 2021139981PermalinkReport AbuseCertified Buyer, New Delhi']"
http://flipkart.com/highlander-men-solid-casual-white-shirt/p/itmeh5hscgmqgdpf?pid=SHTEH5HSF2YDMDKZ&lid=LSTSHTEH5HSF2YDMDKZY80BRL&marketplace=FLIPKART&q=shirts+&store=clo%2Fash%2Faxc&srno=s_1_6&otracker=search&fm=organic&iid=b0d96433-f28c-4639-a585-98da2b8f46c7.SHTEH5HSF2YDMDKZ.SEARCH&ppt=None&ppn=None&ssid=r9w40tzwr40000001674914625332&qH=3a8db61afd63f9b2,HIGHLANDER ,Men Slim Fit Solid Mandarin Collar Casual Shirt,₹349,4.2,"25,965","3,262","['5Good quality and Nice FittingREAD MOREShaheel OzAug, 201913010PermalinkReport AbuseCertified Buyer, Kozhikode5Nice OneREAD MORERavi SinghApr, 201934942PermalinkReport AbuseCertified Buyer, Tinsukia5Best shirt 👌READ MOREArijit KunduJan, 202011311PermalinkReport AbuseCertified Buyer, Rajpur Bazar']"
http://flipkart.com/surhi-men-checkered-casual-grey-shirt/p/itm0f168b89ba37a?pid=SHTFT97HQAMTKYJE&lid=LSTSHTFT97HQAMTKYJE32E0KC&marketplace=FLIPKART&q=shirts+&store=clo%2Fash%2Faxc&spotlightTagId=BestsellerId_clo%2Fash%2Faxc&srno=s_1_7&otracker=search&fm=organic&iid=b0d96433-f28c-4639-a585-98da2b8f46c7.SHTFT97HQAMTKYJE.SEARCH&ppt=None&ppn=None&ssid=r9w40tzwr40000001674914625332&qH=3a8db61afd63f9b2,Surhi ,Men Slim Fit Checkered Spread Collar Casual Shirt,₹299,3.8,"1,76,546","18,580","['5Very nice shirt happyREAD MORESahidul Haque8 months ago6015226PermalinkReport AbuseCertified Buyer, Bangaon5NiceREAD MOREPrasad  KharadkarSep, 20211745244PermalinkReport AbuseCertified Buyer, Pirangut5As better as expected...👍👍READ MOREFlipkart Customer8 months ago71795PermalinkReport AbuseCertified Buyer, Mahnar Bazar']"
http://flipkart.com/vebnor-men-solid-casual-dark-green-shirt/p/itmc029fd6e9f188?pid=SHTFZFSVTYXFBZQJ&lid=LSTSHTFZFSVTYXFBZQJNRBV48&marketplace=FLIPKART&q=shirts+&store=clo%2Fash%2Faxc&srno=s_1_8&otracker=search&fm=organic&iid=en_56wiMx47rRv%2FXiPpy5zH46FR8wx4tZgP1tjAJXLpSqNwF3JtSAEXDCMASKEWCZy9Ta43jHYzqUuumlYJSTUHPg%3D%3D&ppt=None&ppn=None&ssid=r9w40tzwr40000001674914625332&qH=3a8db61afd63f9b2,VeBNoR ,Men Regular Fit Solid Spread Collar Casual Shirt,₹369,4,"1,04,777","11,355","['5Nice productREAD MOREMohd Saleem9 months ago507102PermalinkReport AbuseCertified Buyer, Etawah District4Nice shirtREAD MOREFlipkart CustomerDec, 2021564123PermalinkReport AbuseCertified Buyer, Ghazipur District3Nice productREAD MOREAnshul Anurag9 months ago13624PermalinkReport AbuseCertified Buyer, Patna District']"
http://flipkart.com/highlander-men-striped-casual-dark-blue-shirt/p/itmff69fff5cc85f?pid=SHTFHQJ7GY9CMEUJ&lid=LSTSHTFHQJ7GY9CMEUJ6N9WYA&marketplace=FLIPKART&q=shirts+&store=clo%2Fash%2Faxc&srno=s_1_9&otracker=search&fm=organic&iid=b0d96433-f28c-4639-a585-98da2b8f46c7.SHTFHQJ7GY9CMEUJ.SEARCH&ppt=None&ppn=None&ssid=r9w40tzwr40000001674914625332&qH=3a8db61afd63f9b2,HIGHLANDER ,Men Slim Fit Striped Button Down Collar Casual Shirt,₹402,4.1,"3,495",345,"['3SuperREAD MOREpavan  malipatilNov, 2020437PermalinkReport AbuseCertified Buyer, Gulbarga District5Nice product good fabricREAD MOREamir suhel siddiquiApr, 20214110PermalinkReport AbuseCertified Buyer, Gurugram5good Brand super fitting i love itREAD MOREAnil  Sethy Nov, 20203310PermalinkReport AbuseCertified Buyer, Nabarangapur']"
http://flipkart.com/vtexx-men-solid-casual-maroon-shirt/p/itm25789d7c73ff6?pid=SHTG9HZRMGT8YDHZ&lid=LSTSHTG9HZRMGT8YDHZ9P0UOT&marketplace=FLIPKART&q=shirts+&store=clo%2Fash%2Faxc&srno=s_1_10&otracker=search&fm=organic&iid=b0d96433-f28c-4639-a585-98da2b8f46c7.SHTG9HZRMGT8YDHZ.SEARCH&ppt=None&ppn=None&ssid=r9w40tzwr40000001674914625332&qH=3a8db61afd63f9b2,VTEXX ,Men Regular Fit Solid Spread Collar Casual Shirt,₹299,4,"54,774","4,767","['5Best productsREAD MORESuresh Das3 months ago27439PermalinkReport AbuseCertified Buyer, Puri4Waao amezing thanku Flipkart.......READ MORENaushad Hashmi2 months ago291PermalinkReport AbuseCertified Buyer, Vijayawada5Good productREAD MOREDharmendra kumar5 months ago55593PermalinkReport AbuseCertified Buyer, Bellary District']"
