url,brand,item_name,price,stars,rating,reviews,text_reviews
http://flipkart.com/mayneisha-solid-women-regular-green-skirt/p/itme988b4988bbe8?pid=SKIGBUWZQZTCUBF3&lid=LSTSKIGBUWZQZTCUBF35IHBX8&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_2&otracker=browse&fm=organic&iid=en_4sSswDXAoOIQ5Jf86y6iDtI2IUCxzNdINeG9Mn2e9QeuaKBvs1nvzcrur3xr3%2Fpg9h2azLB3xf2lPxpBJo%2FiHQ%3D%3D&ppt=None&ppn=None&ssid=t3u91jy0g00000001674898176346,Mayneisha ,Women Solid Regular Green Skirt,₹449,4.3,42,4,"['5Nice dress ❤️❤️❤️❤️ you must buy this product ❤️❤️READ MOREFlipkart Customer8 months ago195PermalinkReport AbuseCertified Buyer, Sewarhi5Very beautifulREAD MOREFlipkart Customer5 months ago82PermalinkReport AbuseCertified Buyer, Nehon5Elegant and wonderful 🥰READ MORERuksana Ruksana8 months ago138PermalinkReport AbuseCertified Buyer, Tumkur']"
http://flipkart.com/zwerlon-solid-women-pleated-pink-skirt/p/itmce90b9da31520?pid=SKIGBFUF4CHPGP7X&lid=LSTSKIGBFUF4CHPGP7XAKQJ2T&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_3&otracker=browse&fm=organic&iid=7ae4a55c-4f88-49f9-a5e1-19f37e5c9ee4.SKIGBFUF4CHPGP7X.SEARCH&ppt=None&ppn=None&ssid=t3u91jy0g00000001674898176346,ZWERLON ,Women Solid Pleated Pink Skirt,₹279,4,"12,397",978,"[""5It's good and worth purchaseREAD MOREDivya KumariJan, 202236434PermalinkReport AbuseCertified Buyer, Hyderabad5Perfect!READ MORESrinithi  Prakash9 months ago25923PermalinkReport AbuseCertified Buyer, Erode5Too good for the price paid. A big yes if you ask me to go for it.READ MOREarul reddyDec, 202118816PermalinkReport AbuseCertified Buyer, Hyderabad""]"
http://flipkart.com/otabu-solid-women-skorts-black-skirt/p/itm20efcabbf4ca6?pid=SKIGY37BEEKAFFMG&lid=LSTSKIGY37BEEKAFFMGQOTWTW&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_4&otracker=browse&fm=organic&iid=7ae4a55c-4f88-49f9-a5e1-19f37e5c9ee4.SKIGY37BEEKAFFMG.SEARCH&ppt=None&ppn=None&ssid=t3u91jy0g00000001674898176346,OTABU , ,₹279,4,"2,023",192,"['4NiceREAD MOREFlipkart CustomerNov, 20211199PermalinkReport AbuseCertified Buyer, Babai5Excellent Product.READ MOREFlipkart CustomerApr, 2021398PermalinkReport AbuseCertified Buyer, Ranchi5Really Awesome product worthy for money  Must buyREAD MOREShahana  ShaanaFeb, 2021101PermalinkReport AbuseCertified Buyer, Vadanappally']"
http://flipkart.com/zwerlon-solid-women-pleated-light-green-skirt/p/itm7e5d97eb3c155?pid=SKIG4UZUNHGNQSBG&lid=LSTSKIG4UZUNHGNQSBGRWTVNT&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_5&otracker=browse&fm=organic&iid=7ae4a55c-4f88-49f9-a5e1-19f37e5c9ee4.SKIG4UZUNHGNQSBG.SEARCH&ppt=None&ppn=None&ssid=t3u91jy0g00000001674898176346,ZWERLON ,Women Solid Pleated Light Green Skirt,₹279,4,"12,332",971,"[""5It's good and worth purchaseREAD MOREDivya KumariJan, 202236434PermalinkReport AbuseCertified Buyer, Hyderabad5Perfect!READ MORESrinithi  Prakash9 months ago25923PermalinkReport AbuseCertified Buyer, Erode5Too good for the price paid. A big yes if you ask me to go for it.READ MOREarul reddyDec, 202118816PermalinkReport AbuseCertified Buyer, Hyderabad""]"
http://flipkart.com/deklook-animal-print-women-pleated-multicolor-skirt/p/itm5134c2ca74565?pid=SKIGHB7DFDFFJBMZ&lid=LSTSKIGHB7DFDFFJBMZYEL5TB&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_6&otracker=browse&fm=organic&iid=7ae4a55c-4f88-49f9-a5e1-19f37e5c9ee4.SKIGHB7DFDFFJBMZ.SEARCH&ppt=None&ppn=None&ssid=t3u91jy0g00000001674898176346,Deklook ,Women Animal Print Pleated Multicolor Skirt,₹299,3.8,681,39,"['5I just love it .. thakyou filpkartREAD MOREMitagolu Mondal3 months ago805PermalinkReport AbuseCertified Buyer, Bolpur3Good oneREAD MOREAngel Sekar19 days ago30PermalinkReport AbuseCertified Buyer, Mumbai3Ok ok product, no lining insideREAD MOREArjun Nair4 months ago31PermalinkReport AbuseCertified Buyer']"
http://flipkart.com/dl-fashion-solid-women-flared-black-skirt/p/itm66a6510a9e7f5?pid=SKIFYFSRQKYFAGD4&lid=LSTSKIFYFSRQKYFAGD4P9UVMK&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_7&otracker=browse&fm=organic&iid=7ae4a55c-4f88-49f9-a5e1-19f37e5c9ee4.SKIFYFSRQKYFAGD4.SEARCH&ppt=None&ppn=None&ssid=t3u91jy0g00000001674898176346,DL Fashion ,Women Solid Flared Black Skirt,₹349,4,"3,850",381,"['4Great 👍 lovely skirt 😍 amazinglyREAD MORE pooja eshwer  PatelAug, 202118620PermalinkReport AbuseCertified Buyer, Valsad District4The skirt is of good qualityREAD MORELakshmi MohanSep, 2021614PermalinkReport AbuseCertified Buyer, Thiruvananthapuram4I very happy to buy this product..it is very beautiful skirt.. material is good nt great but overall i loved it..READ MOREFlipkart CustomerMar, 202127834PermalinkReport AbuseCertified Buyer, Faridkot']"
http://flipkart.com/eirson-animal-print-women-wrap-around-multicolor-skirt/p/itmbaffa44b99758?pid=SKIFWHZHGESA7SJF&lid=LSTSKIFWHZHGESA7SJFRGS9ZP&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_8&otracker=browse&fm=organic&iid=en_4sSswDXAoOIQ5Jf86y6iDtI2IUCxzNdINeG9Mn2e9QeYq3DYEfiIDIfN8dEDYqT%2BPlr6J91lwrMIv4gR6IYwtw%3D%3D&ppt=None&ppn=None&ssid=t3u91jy0g00000001674898176346,EIRSON ,Women Animal Print Wrap Around Multicolor Skirt,₹410,4.1,564,54,"[""5It's very comfortable to wear.... material is also ok. Thks to flipkart.READ MOREFlipkart CustomerJul, 202171PermalinkReport AbuseCertified Buyer, Paradip5Nic productREAD MOREPriya RaiMay, 202153PermalinkReport AbuseCertified Buyer, Kopaganj1Low qualityREAD MORERaghavendra  SSep, 202110PermalinkReport AbuseCertified Buyer, Bengaluru""]"
http://flipkart.com/deklook-solid-women-pleated-black-skirt/p/itm32d94d0ce4c92?pid=SKIG6KYSZ4ZPBCZH&lid=LSTSKIG6KYSZ4ZPBCZHNGJYWV&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&spotlightTagId=BestsellerId_clo%2Fvua%2Fiku&srno=b_1_9&otracker=browse&fm=organic&iid=7ae4a55c-4f88-49f9-a5e1-19f37e5c9ee4.SKIG6KYSZ4ZPBCZH.SEARCH&ppt=None&ppn=None&ssid=t3u91jy0g00000001674898176346,Deklook ,Women Solid Pleated Black Skirt,₹299,3.9,"2,029",138,"['5Beautiful Skirt! Go for it!READ MOREKajal SawantOct, 20215610PermalinkReport AbuseCertified Buyer, Margao5Same as shown! I liked it😃READ MORERenisa Khatun4 months ago203PermalinkReport AbuseCertified Buyer, Kolkata5Gud ...READ MOREFlipkart Customer8 months ago369PermalinkReport AbuseCertified Buyer, Maharajganj,maharajganj District']"
http://flipkart.com/zwerlon-solid-women-pleated-brown-skirt/p/itm3189af40024da?pid=SKIG3VT2PGW9BGAN&lid=LSTSKIG3VT2PGW9BGANDEJQUE&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_10&otracker=browse&fm=organic&iid=7ae4a55c-4f88-49f9-a5e1-19f37e5c9ee4.SKIG3VT2PGW9BGAN.SEARCH&ppt=None&ppn=None&ssid=t3u91jy0g00000001674898176346,ZWERLON ,Women Solid Pleated Brown Skirt,₹279,4.1,"1,401",141,"['4Good quality.. Love it!!READ MOREDivya Singh10 months ago322PermalinkReport AbuseCertified Buyer, Kota4Soft fabric with light weight... Very comfortable to wear. Go for itREAD MORERamya Moksha7 months ago9512PermalinkReport AbuseCertified Buyer, Rajahmundry5I was really surprised .... as seen in the ad .....No thickness but no problem..... thanks Flipkart .. this is the first shopping ... this is a great experience ...READ MOREFlipkart Customer6 months ago100PermalinkReport AbuseCertified Buyer, Idukki District']"
http://flipkart.com/purple-feather-solid-women-pencil-black-skirt/p/itmf3y4nuyvabgxe?pid=SKIEK7SWUQHJCTUG&lid=LSTSKIEK7SWUQHJCTUGKJBUQU&marketplace=FLIPKART&store=clo%2Fvua%2Fiku&srno=b_1_11&otracker=browse&fm=organic&iid=7ae4a55c-4f88-49f9-a5e1-19f37e5c9ee4.SKIEK7SWUQHJCTUG.SEARCH&ppt=None&ppn=None&ssid=t3u91jy0g00000001674898176346,Purple Feather ,Women Solid Pencil Black Skirt,₹349,4.1,"4,672",639,"['5Nice and comfortable for office purposeREAD MOREArkaja  shuklaOct, 20191126PermalinkReport AbuseCertified Buyer, Indore5Good as per the description. Fits well too. Worth buyingREAD MOREKiran HotaMay, 2018957PermalinkReport AbuseCertified Buyer, Bengaluru5Nice oneREAD MOREDebolina PaulOct, 2021433PermalinkReport AbuseCertified Buyer, Silchar']"
